,Date,Open,High,Low,Close,Volume,Stock
0,1999-12-15,4.2742,4.7967,2.4221,2.4791,5402000.0,APM
1,1999-12-16,2.5171,2.5835,2.3366,2.3746,3506000.0,APM
2,1999-12-17,2.3746,2.4126,2.2321,2.3746,1177000.0,APM
3,1999-12-20,2.3746,2.4126,2.3176,2.3176,551000.0,APM
4,1999-12-21,2.2796,2.2891,2.1941,2.2036,435000.0,APM
5,1999-12-22,2.2036,2.2036,2.0231,2.0706,983000.0,APM
6,1999-12-23,2.0706,2.2511,2.0706,2.0801,1435000.0,APM
7,1999-12-24,2.1181,2.1371,2.0136,2.0421,717000.0,APM
8,1999-12-27,2.0421,2.0801,1.9851,1.9946,361000.0,APM
9,1999-12-28,1.9946,2.0231,1.9946,1.9946,263000.0,APM
10,1999-12-29,2.0136,2.0421,2.0041,2.0231,342000.0,APM
11,1999-12-30,2.0421,2.0991,2.0041,2.0516,933000.0,APM
12,2000-03-01,2.0896,2.1181,2.0516,2.0801,1027000.0,APM
13,2000-04-01,2.0991,2.1181,2.0136,2.0421,738000.0,APM
14,2000-05-01,1.9946,2.0136,1.8997,1.9851,1159000.0,APM
15,2000-06-01,1.9946,2.0136,1.9282,1.9472,763000.0,APM
16,2000-11-01,1.9851,2.0136,1.9282,1.9472,1022000.0,APM
17,2000-12-01,1.9472,1.9757,1.9187,1.9282,424000.0,APM
18,2000-01-13,1.9567,1.9662,1.9092,1.9187,683000.0,APM
19,2000-01-14,1.9377,1.9851,1.9092,1.9472,740000.0,APM
20,2000-01-17,1.9851,2.1276,1.9567,2.0326,1104000.0,APM
21,2000-01-18,2.0326,2.1086,2.0326,2.0991,592000.0,APM
22,2000-01-19,2.0991,2.2321,2.0991,2.1846,1590000.0,APM
23,2000-01-20,2.2321,2.2321,2.1276,2.1941,1339000.0,APM
24,2000-01-21,2.1846,2.2226,2.0896,2.1086,660000.0,APM
25,2000-01-24,2.1371,2.1656,2.1086,2.1276,339000.0,APM
26,2000-01-25,2.1181,2.1276,2.0421,2.1276,185000.0,APM
27,2000-01-26,2.1181,2.1276,2.0041,2.0706,465000.0,APM
28,2000-01-27,2.0326,2.0516,1.9662,2.0326,295000.0,APM
29,2000-01-28,1.9946,1.9946,1.9377,1.9757,308000.0,APM
30,2000-01-31,1.9187,1.9472,1.8997,1.9472,212000.0,APM
31,2000-02-02,2.0041,2.0041,1.9567,1.9757,377000.0,APM
32,2000-03-02,1.9946,2.0896,1.9851,2.0801,818000.0,APM
33,2000-08-02,2.0896,2.1181,2.0421,2.0801,1200000.0,APM
34,2000-09-02,2.0896,2.4411,2.0896,2.4126,3625000.0,APM
35,2000-10-02,2.4126,2.6975,2.3461,2.6025,7829000.0,APM
36,2000-11-02,2.6595,2.6975,2.4411,2.4411,2544000.0,APM
37,2000-02-14,2.4411,2.5361,2.3746,2.5361,2238000.0,APM
38,2000-02-15,2.5645,2.631,2.4411,2.4886,2384000.0,APM
39,2000-02-16,2.5456,2.5456,2.4221,2.5076,1099000.0,APM
40,2000-02-17,2.5076,2.6025,2.4886,2.5835,2370000.0,APM
41,2000-02-18,2.612,2.9445,2.6025,2.802,6174000.0,APM
42,2000-02-21,2.783,2.802,2.688,2.745,1688000.0,APM
43,2000-02-22,2.7545,2.7735,2.6215,2.6785,1522000.0,APM
44,2000-02-23,2.688,2.802,2.65,2.783,2748000.0,APM
45,2000-02-24,2.7925,2.802,2.7165,2.7545,955000.0,APM
46,2000-02-25,2.764,2.802,2.65,2.688,1397000.0,APM
47,2000-02-28,2.6595,2.7165,2.593,2.6595,1728000.0,APM
48,2000-02-29,2.707,2.7165,2.593,2.6595,947000.0,APM
49,2000-01-03,2.707,2.707,2.6405,2.6595,1284000.0,APM
50,2000-02-03,2.6405,2.6595,2.593,2.6595,760000.0,APM
51,2000-03-03,2.6595,2.6975,2.5456,2.6405,486000.0,APM
52,2000-06-03,2.6595,2.6785,2.6215,2.6405,546000.0,APM
53,2000-07-03,2.6215,2.631,2.5645,2.5835,847000.0,APM
54,2000-08-03,2.555,2.612,2.4696,2.5835,374000.0,APM
55,2000-09-03,2.612,2.6215,2.5645,2.593,209000.0,APM
56,2000-10-03,2.593,2.6785,2.593,2.6785,378000.0,APM
57,2000-03-13,2.6785,2.6975,2.612,2.6215,498000.0,APM
58,2000-03-14,2.5835,2.612,2.5835,2.6025,351000.0,APM
59,2000-03-15,2.6025,2.612,2.593,2.612,177000.0,APM
60,2000-03-17,2.6595,2.6595,2.593,2.6215,229000.0,APM
61,2000-03-20,2.6025,2.631,2.593,2.612,351000.0,APM
62,2000-03-21,2.612,2.6595,2.6025,2.6595,307000.0,APM
63,2000-03-22,2.6785,2.6785,2.6405,2.6595,739000.0,APM
64,2000-03-23,2.6595,2.669,2.6405,2.65,648000.0,APM
65,2000-03-24,2.6595,2.6785,2.65,2.6785,710000.0,APM
66,2000-03-27,2.6785,2.7735,2.6785,2.7545,810000.0,APM
67,2000-03-28,2.7545,2.7735,2.7355,2.764,772000.0,APM
68,2000-03-29,2.7735,3.0965,2.7735,2.9445,2408000.0,APM
69,2000-03-30,2.9825,3.0205,2.8495,2.8495,911000.0,APM
70,2000-03-31,2.8115,2.9445,2.7355,2.8495,336000.0,APM
71,2000-03-04,2.8875,2.9065,2.8305,2.8305,186000.0,APM
72,2000-04-04,2.8305,2.8495,2.7735,2.7735,387000.0,APM
73,2000-05-04,2.7545,2.7735,2.7165,2.7165,595000.0,APM
74,2000-07-04,2.7545,2.7545,2.6025,2.6595,770000.0,APM
75,2000-10-04,2.6405,2.6405,2.5645,2.574,325000.0,APM
76,2000-11-04,2.5645,2.6405,2.5645,2.631,84000.0,APM
77,2000-12-04,2.631,2.6785,2.5835,2.6215,82000.0,APM
78,2000-04-13,2.6025,2.6025,2.5835,2.593,28000.0,APM
79,2000-04-14,2.5645,2.6025,2.5645,2.593,64000.0,APM
80,2000-04-17,2.5266,2.5266,2.3841,2.3841,820000.0,APM
81,2000-04-18,2.4886,2.5076,2.4696,2.4886,124000.0,APM
82,2000-04-19,2.4886,2.5456,2.4886,2.5456,107000.0,APM
83,2000-04-20,2.5456,2.5456,2.4696,2.4696,18000.0,APM
84,2000-04-21,2.4886,2.4886,2.4696,2.4791,95000.0,APM
85,2000-04-24,2.4696,2.4696,2.4221,2.4221,33000.0,APM
86,2000-04-25,2.4696,2.4696,2.3936,2.4601,50000.0,APM
87,2000-04-26,2.4696,2.4696,2.4126,2.4221,112000.0,APM
88,2000-04-27,2.4031,2.4316,2.3841,2.3841,25000.0,APM
89,2000-04-28,2.4221,2.4221,2.4221,2.4221,10000.0,APM
90,2000-02-05,2.4316,2.4316,2.3556,2.3556,79000.0,APM
91,2000-03-05,2.3556,2.3556,2.3081,2.3081,148000.0,APM
92,2000-04-05,2.3081,2.4221,2.2796,2.3936,104000.0,APM
93,2000-05-05,2.4221,2.5171,2.4221,2.4791,164000.0,APM
94,2000-08-05,2.555,2.555,2.4886,2.5266,278000.0,APM
95,2000-09-05,2.5266,2.5266,2.4791,2.5171,50000.0,APM
96,2000-10-05,2.5076,2.6025,2.5076,2.5835,57000.0,APM
97,2000-11-05,2.5171,2.5171,2.4886,2.4981,218000.0,APM
98,2000-12-05,2.4981,2.4981,2.4506,2.4791,194000.0,APM
99,2000-05-15,2.4696,2.4696,2.3936,2.4696,145000.0,APM
100,2000-05-16,2.4221,2.4981,2.4221,2.4981,355000.0,APM
101,2000-05-17,2.4981,2.5171,2.4981,2.5171,277000.0,APM
102,2000-05-19,2.4696,2.5171,2.4696,2.4981,335000.0,APM
