Date,Open,High,Low,Close,Volume,Stock
1984-01-03,1.1686,1.1686,1.1686,1.1686,66300.0,BSTEAD
1984-01-06,0.999,1.0065,0.999,0.999,21200.0,BSTEAD
1984-01-08,0.9274,0.9425,0.9236,0.9274,167100.0,BSTEAD
1984-01-10,0.8482,0.8557,0.8482,0.8482,42400.0,BSTEAD
1984-01-11,0.7653,0.7804,0.7653,0.7653,39800.0,BSTEAD
1984-01-13,1.3194,1.3194,1.3194,1.3194,228100.0,BSTEAD
1984-01-16,1.2893,1.2893,1.2893,1.2893,140600.0,BSTEAD
1984-01-17,1.2893,1.2893,1.2893,1.2893,156500.0,BSTEAD
1984-01-18,1.2893,1.2893,1.2893,1.2893,84900.0,BSTEAD
1984-01-19,1.2817,1.2817,1.2817,1.2817,106100.0,BSTEAD
1984-01-20,1.2893,1.2893,1.2893,1.2893,47700.0,BSTEAD
1984-01-23,1.2667,1.2667,1.2667,1.2667,58400.0,BSTEAD
1984-01-24,1.2591,1.2591,1.2591,1.2591,31800.0,BSTEAD
1984-01-25,1.244,1.244,1.244,1.244,69000.0,BSTEAD
1984-01-26,1.2365,1.2365,1.2365,1.2365,26500.0,BSTEAD
1984-01-27,1.2591,1.2591,1.2591,1.2591,63700.0,BSTEAD
1984-01-30,1.244,1.244,1.244,1.244,26500.0,BSTEAD
1984-01-31,1.244,1.244,1.244,1.244,37100.0,BSTEAD
1984-02-03,1.1762,1.1762,1.1762,1.1762,39800.0,BSTEAD
1984-02-04,1.1159,1.1159,1.1159,1.1159,5300.0,BSTEAD
1984-02-05,1.0744,1.0782,1.0744,1.0744,45100.0,BSTEAD
1984-02-08,0.95,0.9538,0.9349,0.95,98100.0,BSTEAD
1984-02-10,0.8482,0.852,0.8482,0.8482,127300.0,BSTEAD
1984-02-11,0.7653,0.7653,0.7577,0.7653,63700.0,BSTEAD
1984-02-13,1.1913,1.1913,1.1913,1.1913,47700.0,BSTEAD
1984-02-14,1.1913,1.1913,1.1913,1.1913,71600.0,BSTEAD
1984-02-15,1.1913,1.1913,1.1913,1.1913,26500.0,BSTEAD
1984-02-16,1.2139,1.2139,1.2139,1.2139,98100.0,BSTEAD
1984-02-17,1.2063,1.2063,1.2063,1.2063,111400.0,BSTEAD
1984-02-20,1.1988,1.1988,1.1988,1.1988,5300.0,BSTEAD
1984-02-21,1.1837,1.1837,1.1837,1.1837,34500.0,BSTEAD
1984-02-22,1.1913,1.1913,1.1913,1.1913,31800.0,BSTEAD
1984-02-23,1.1837,1.1837,1.1837,1.1837,37100.0,BSTEAD
1984-02-24,1.1837,1.1837,1.1837,1.1837,45100.0,BSTEAD
1984-02-27,1.1988,1.1988,1.1988,1.1988,29200.0,BSTEAD
1984-02-28,1.1837,1.1837,1.1837,1.1837,31800.0,BSTEAD
