,Date,Open,High,Low,Close,Volume,Stock
0,2004-11-22,0.7427,0.8616,0.7427,0.8319,149225000.0,CAPITALA
1,2004-11-23,0.8437,0.8972,0.8378,0.8913,40798000.0,CAPITALA
2,2004-11-24,0.8972,0.9329,0.8675,0.8675,40249000.0,CAPITALA
3,2004-11-25,0.8734,0.8853,0.8319,0.8675,14515700.0,CAPITALA
4,2004-11-26,0.8675,0.8972,0.8675,0.8794,12318000.0,CAPITALA
5,2004-11-29,0.8794,0.8794,0.8378,0.8437,8439600.0,CAPITALA
6,2004-11-30,0.8437,0.8675,0.8378,0.8675,12111000.0,CAPITALA
7,2004-01-12,0.8675,0.8972,0.8556,0.8913,8158800.0,CAPITALA
8,2004-02-12,0.9032,1.0101,0.8972,0.9745,34973600.0,CAPITALA
9,2004-03-12,0.9863,1.0101,0.9626,0.9685,8733500.0,CAPITALA
10,2004-06-12,0.9745,0.9982,0.9745,0.9745,7193500.0,CAPITALA
11,2004-07-12,0.9804,0.9804,0.9566,0.9626,3533000.0,CAPITALA
12,2004-08-12,0.9745,0.9804,0.9566,0.9685,4475400.0,CAPITALA
13,2004-09-12,0.9685,0.9863,0.9685,0.9745,7796400.0,CAPITALA
14,2004-10-12,0.9745,0.9745,0.9388,0.9388,4581800.0,CAPITALA
15,2004-12-13,0.9448,0.9863,0.9448,0.9804,4227600.0,CAPITALA
16,2004-12-14,0.9804,1.0101,0.9804,0.9982,5644200.0,CAPITALA
17,2004-12-15,0.9982,1.0814,0.9982,1.0576,17383700.0,CAPITALA
18,2004-12-16,1.0636,1.0933,1.0576,1.0576,8817800.0,CAPITALA
19,2004-12-17,1.0695,1.0933,1.0576,1.0755,14992300.0,CAPITALA
20,2004-12-20,1.0695,1.1052,1.0636,1.0874,17310700.0,CAPITALA
21,2004-12-21,1.0874,1.0933,1.0695,1.0755,3771700.0,CAPITALA
22,2004-12-22,1.0874,1.0933,1.0755,1.0814,2732300.0,CAPITALA
23,2004-12-23,1.0814,1.0874,1.0517,1.0695,2110700.0,CAPITALA
24,2004-12-24,1.0576,1.0576,1.022,1.0398,2489800.0,CAPITALA
25,2004-12-27,1.0101,1.0279,0.9982,1.0161,2496500.0,CAPITALA
26,2004-12-28,1.0101,1.0339,1.0101,1.022,3301600.0,CAPITALA
27,2004-12-29,1.022,1.022,0.9863,0.9923,2253800.0,CAPITALA
28,2004-12-30,0.9863,0.9863,0.9448,0.9566,5865700.0,CAPITALA
29,2004-12-31,0.9566,0.9982,0.9507,0.9863,2147600.0,CAPITALA
30,2005-03-01,0.9863,0.9863,0.9566,0.9685,1384000.0,CAPITALA
31,2005-04-01,0.9685,0.9745,0.9626,0.9685,4856200.0,CAPITALA
32,2005-05-01,0.9745,1.1052,0.9745,1.0992,11457900.0,CAPITALA
33,2005-06-01,1.0992,1.123,1.0814,1.0933,6065700.0,CAPITALA
34,2005-07-01,1.0933,1.0992,1.0755,1.0933,2211700.0,CAPITALA
35,2005-10-01,1.0933,1.1705,1.0933,1.1587,10502800.0,CAPITALA
36,2005-11-01,1.1587,1.1646,1.1111,1.123,4218700.0,CAPITALA
37,2005-12-01,1.1289,1.1349,1.0874,1.0933,2990100.0,CAPITALA
38,2005-01-13,1.1052,1.1171,1.0992,1.1171,1508400.0,CAPITALA
39,2005-01-14,1.1052,1.1111,1.0874,1.0992,1092000.0,CAPITALA
40,2005-01-17,1.0992,1.1111,1.0933,1.1052,1321400.0,CAPITALA
41,2005-01-18,1.0992,1.1052,1.0933,1.0992,765500.0,CAPITALA
42,2005-01-19,1.0992,1.0992,1.0517,1.0636,2393600.0,CAPITALA
43,2005-01-20,1.0636,1.0636,1.0279,1.0576,7966400.0,CAPITALA
44,2005-01-24,1.0576,1.0874,1.0517,1.0755,1952900.0,CAPITALA
45,2005-01-25,1.0755,1.0933,1.0695,1.0814,1555100.0,CAPITALA
46,2005-01-26,1.0874,1.0874,1.0695,1.0695,770500.0,CAPITALA
47,2005-01-27,1.0695,1.0695,1.0458,1.0517,4999800.0,CAPITALA
48,2005-01-28,1.0517,1.0755,1.0517,1.0695,5339800.0,CAPITALA
49,2005-01-31,1.0576,1.0636,1.0279,1.0517,5926100.0,CAPITALA
