Date,Open,High,Low,Close,Volume,Stock
2019-12-06,0.5761,0.5761,0.4916,0.4966,71187300.0,HPMT
2019-06-13,0.5016,0.5214,0.4767,0.5016,21624000.0,HPMT
2019-06-14,0.5016,0.5115,0.4916,0.4916,3563500.0,HPMT
2019-06-17,0.4966,0.4966,0.432,0.437,30559000.0,HPMT
2019-06-18,0.442,0.4668,0.4221,0.4469,27284200.0,HPMT
2019-06-19,0.4519,0.4618,0.432,0.437,6465500.0,HPMT
2019-06-20,0.442,0.4469,0.4271,0.437,11617800.0,HPMT
2019-06-21,0.442,0.4569,0.432,0.442,14367600.0,HPMT
2019-06-24,0.437,0.4519,0.437,0.437,2338100.0,HPMT
2019-06-25,0.442,0.4519,0.432,0.442,4765400.0,HPMT
2019-06-26,0.4469,0.4519,0.437,0.4519,4349000.0,HPMT
2019-06-27,0.4519,0.4668,0.4469,0.4519,9782100.0,HPMT
2019-06-28,0.4519,0.4519,0.4469,0.4469,1425400.0,HPMT
2019-01-07,0.4519,0.4569,0.4469,0.4469,2588000.0,HPMT
2019-02-07,0.4519,0.4519,0.442,0.442,3704700.0,HPMT
2019-03-07,0.442,0.4469,0.442,0.442,977900.0,HPMT
2019-04-07,0.442,0.4519,0.442,0.4519,1578100.0,HPMT
2019-05-07,0.4469,0.4519,0.437,0.442,1423500.0,HPMT
2019-08-07,0.437,0.442,0.432,0.432,1899800.0,HPMT
2019-09-07,0.432,0.437,0.4171,0.4221,4241000.0,HPMT
2019-10-07,0.4221,0.4221,0.4122,0.4171,3043300.0,HPMT
2019-11-07,0.4171,0.437,0.4122,0.4271,4324200.0,HPMT
2019-12-07,0.4271,0.437,0.4271,0.4271,2110300.0,HPMT
2019-07-15,0.4271,0.4271,0.4171,0.4171,1771500.0,HPMT
2019-07-16,0.4171,0.4221,0.4122,0.4171,1887400.0,HPMT
2019-07-17,0.4122,0.4221,0.4122,0.4122,1220600.0,HPMT
2019-07-18,0.4122,0.4122,0.4022,0.4022,1680200.0,HPMT
2019-07-19,0.4022,0.4122,0.4022,0.4072,810700.0,HPMT
2019-07-22,0.4072,0.4122,0.4022,0.4022,593500.0,HPMT
2019-07-23,0.4022,0.4122,0.4022,0.4072,1243800.0,HPMT
2019-07-24,0.4072,0.4072,0.3973,0.3973,398000.0,HPMT
2019-07-25,0.3973,0.4022,0.3973,0.3973,690400.0,HPMT
2019-07-26,0.3923,0.3923,0.3874,0.3923,561100.0,HPMT
2019-07-29,0.3874,0.3973,0.3874,0.3923,782800.0,HPMT
2019-07-31,0.3874,0.4022,0.3874,0.3923,736600.0,HPMT
