Date,Open,High,Low,Close,Volume,Stock
2005-10-19,0.8814,0.9166,0.8549,0.8902,8253800.0,ICAP
2005-10-20,0.899,0.9078,0.8902,0.9078,1345400.0,ICAP
2005-10-21,0.9078,0.9695,0.899,0.9695,1399800.0,ICAP
2005-10-24,0.9695,0.9783,0.9431,0.9431,848100.0,ICAP
2005-10-25,0.9519,0.9519,0.9343,0.9431,413600.0,ICAP
2005-10-26,0.9343,0.9519,0.9343,0.9519,90200.0,ICAP
2005-10-27,0.9519,0.9607,0.9519,0.9519,107500.0,ICAP
2005-10-28,0.9607,0.9607,0.9519,0.9519,210700.0,ICAP
2005-10-31,0.9607,0.9607,0.9519,0.9607,273400.0,ICAP
2005-02-11,0.9607,1.0048,0.9607,0.9959,382200.0,ICAP
2005-07-11,1.0048,1.0576,1.0048,1.0312,591300.0,ICAP
2005-08-11,1.04,1.0488,1.0312,1.04,166500.0,ICAP
2005-09-11,1.04,1.04,1.0224,1.04,137600.0,ICAP
2005-10-11,1.0312,1.0312,1.0312,1.0312,128600.0,ICAP
2005-11-11,1.04,1.04,1.0312,1.04,296600.0,ICAP
2005-11-14,1.0488,1.0488,1.0136,1.0136,250700.0,ICAP
2005-11-15,1.0136,1.0224,1.0136,1.0136,190800.0,ICAP
2005-11-16,1.0136,1.0224,1.0048,1.0048,97600.0,ICAP
2005-11-17,1.0048,1.0136,1.0048,1.0136,55400.0,ICAP
2005-11-18,1.0136,1.04,1.0136,1.0312,266600.0,ICAP
2005-11-21,1.0312,1.0312,1.0136,1.0136,57000.0,ICAP
2005-11-22,1.0224,1.0224,1.0136,1.0224,92500.0,ICAP
2005-11-23,1.0136,1.0224,1.0136,1.0136,79500.0,ICAP
2005-11-24,1.0136,1.0136,0.9871,0.9871,194000.0,ICAP
2005-11-25,0.9959,1.0048,0.9959,0.9959,43000.0,ICAP
2005-11-28,1.0048,1.0048,0.9871,0.9871,71600.0,ICAP
2005-11-29,0.9871,0.9871,0.9695,0.9695,409500.0,ICAP
