,Date,Open,High,Low,Close,Volume,Stock
0,2008-06-27,0.1667,0.1667,0.13,0.13,136118500.0,LUXCHEM
1,2008-06-30,0.1267,0.1325,0.1233,0.1267,35454000.0,LUXCHEM
2,2008-01-07,0.1267,0.1275,0.115,0.115,19929600.0,LUXCHEM
3,2008-02-07,0.115,0.115,0.1067,0.11,25341000.0,LUXCHEM
4,2008-04-07,0.1067,0.1075,0.0983,0.1058,41715000.0,LUXCHEM
5,2008-07-07,0.1075,0.1117,0.1033,0.1083,20730600.0,LUXCHEM
6,2008-08-07,0.1083,0.11,0.105,0.1058,10255800.0,LUXCHEM
7,2008-09-07,0.1083,0.1125,0.1058,0.1117,15814800.0,LUXCHEM
8,2008-10-07,0.1092,0.1125,0.1083,0.1083,9309600.0,LUXCHEM
9,2008-11-07,0.1083,0.11,0.1083,0.1083,2877000.0,LUXCHEM
10,2008-07-14,0.1,0.11,0.1,0.1083,5593200.0,LUXCHEM
11,2008-07-15,0.1083,0.1083,0.1067,0.1083,4431600.0,LUXCHEM
12,2008-07-16,0.1083,0.1083,0.1025,0.105,6611400.0,LUXCHEM
13,2008-07-17,0.1058,0.1075,0.1058,0.1075,1428000.0,LUXCHEM
14,2008-07-18,0.1075,0.1092,0.1067,0.1083,2821200.0,LUXCHEM
15,2008-07-21,0.1092,0.1117,0.1075,0.11,2601000.0,LUXCHEM
16,2008-07-22,0.11,0.11,0.1083,0.1083,3708000.0,LUXCHEM
17,2008-07-23,0.1083,0.1117,0.1083,0.1092,2970000.0,LUXCHEM
18,2008-07-24,0.1092,0.11,0.1092,0.1092,1770000.0,LUXCHEM
19,2008-07-25,0.1083,0.1092,0.1083,0.1092,1110000.0,LUXCHEM
20,2008-07-28,0.11,0.12,0.1092,0.1167,3273600.0,LUXCHEM
21,2008-07-29,0.1142,0.13,0.1142,0.13,4516200.0,LUXCHEM
22,2008-07-30,0.13,0.1358,0.1275,0.13,5139000.0,LUXCHEM
23,2008-07-31,0.13,0.1392,0.13,0.1342,19752000.0,LUXCHEM
24,2008-01-08,0.1317,0.1375,0.1317,0.1333,4508400.0,LUXCHEM
25,2008-04-08,0.1325,0.1375,0.1317,0.1325,6246000.0,LUXCHEM
26,2008-05-08,0.1275,0.1275,0.1242,0.1258,2459400.0,LUXCHEM
27,2008-06-08,0.13,0.13,0.1242,0.1242,2578800.0,LUXCHEM
28,2008-07-08,0.1242,0.1258,0.1242,0.125,983400.0,LUXCHEM
29,2008-08-08,0.1242,0.1275,0.1242,0.1258,1071000.0,LUXCHEM
30,2008-11-08,0.1258,0.1267,0.1258,0.1267,161400.0,LUXCHEM
31,2008-12-08,0.13,0.13,0.125,0.1267,357000.0,LUXCHEM
32,2008-08-13,0.125,0.1258,0.125,0.1258,222000.0,LUXCHEM
33,2008-08-14,0.1258,0.1267,0.1242,0.1267,582000.0,LUXCHEM
34,2008-08-15,0.125,0.125,0.1217,0.125,564000.0,LUXCHEM
35,2008-08-18,0.1217,0.1217,0.1208,0.1208,66000.0,LUXCHEM
36,2008-08-19,0.1192,0.1217,0.1192,0.1208,498600.0,LUXCHEM
37,2008-08-20,0.1192,0.1208,0.1192,0.12,408000.0,LUXCHEM
38,2008-08-21,0.12,0.12,0.1192,0.1192,252000.0,LUXCHEM
39,2008-08-22,0.1183,0.1192,0.1183,0.1183,3090000.0,LUXCHEM
40,2008-08-25,0.1183,0.1183,0.1175,0.1183,3006000.0,LUXCHEM
41,2008-08-26,0.1183,0.12,0.1175,0.1192,3630000.0,LUXCHEM
42,2008-08-27,0.12,0.125,0.12,0.1242,3463200.0,LUXCHEM
43,2008-08-28,0.1208,0.1217,0.1208,0.1217,4212000.0,LUXCHEM
44,2008-08-29,0.1167,0.1217,0.1167,0.12,5676600.0,LUXCHEM
45,2008-02-09,0.1183,0.12,0.1175,0.12,2946000.0,LUXCHEM
46,2008-03-09,0.1167,0.1192,0.1167,0.1175,2878200.0,LUXCHEM
47,2008-04-09,0.1158,0.1192,0.1158,0.1192,761400.0,LUXCHEM
48,2008-05-09,0.1167,0.1167,0.1167,0.1167,237000.0,LUXCHEM
49,2008-08-09,0.115,0.1183,0.115,0.1183,420000.0,LUXCHEM
50,2008-09-09,0.1183,0.1183,0.1183,0.1183,60000.0,LUXCHEM
51,2008-10-09,0.1167,0.1167,0.115,0.115,355200.0,LUXCHEM
52,2008-11-09,0.1167,0.1167,0.1117,0.1125,448200.0,LUXCHEM
