,Date,Open,High,Low,Close,Volume,Stock
0,2012-07-17,0.2427,0.262,0.2234,0.2454,86579000.0,OCK
1,2012-07-18,0.2454,0.2509,0.2372,0.2427,7674400.0,OCK
2,2012-07-19,0.2427,0.2427,0.2372,0.2399,1541400.0,OCK
3,2012-07-20,0.2372,0.2427,0.2372,0.2399,3714400.0,OCK
4,2012-07-23,0.2372,0.2372,0.2234,0.2289,16150500.0,OCK
5,2012-07-24,0.2261,0.2344,0.2261,0.2344,4463600.0,OCK
6,2012-07-25,0.2316,0.2427,0.2316,0.2427,7224200.0,OCK
7,2012-07-26,0.2399,0.2399,0.2316,0.2344,3218400.0,OCK
8,2012-07-27,0.2344,0.2372,0.2289,0.2372,4570400.0,OCK
9,2012-07-30,0.2372,0.2372,0.2289,0.2289,1526700.0,OCK
10,2012-07-31,0.2316,0.2316,0.2261,0.2289,1782300.0,OCK
11,2012-01-08,0.2289,0.2454,0.2261,0.2372,7252300.0,OCK
12,2012-02-08,0.2372,0.2399,0.2316,0.2399,223700.0,OCK
13,2012-03-08,0.2344,0.2399,0.2344,0.2399,324700.0,OCK
14,2012-06-08,0.2399,0.2509,0.2344,0.2454,11771000.0,OCK
15,2012-07-08,0.2454,0.2482,0.2399,0.2399,4753400.0,OCK
16,2012-08-08,0.2399,0.2454,0.2399,0.2454,2073300.0,OCK
17,2012-09-08,0.2427,0.2454,0.2344,0.2427,2074600.0,OCK
18,2012-10-08,0.2399,0.2427,0.2289,0.2316,6898700.0,OCK
19,2012-08-13,0.2316,0.2344,0.2316,0.2344,576600.0,OCK
20,2012-08-14,0.2344,0.2344,0.2344,0.2344,433300.0,OCK
21,2012-08-15,0.2372,0.2372,0.2344,0.2344,1269200.0,OCK
22,2012-08-16,0.2372,0.2372,0.2316,0.2316,759200.0,OCK
23,2012-08-17,0.2344,0.2372,0.2344,0.2372,670000.0,OCK
24,2012-08-22,0.2399,0.262,0.2372,0.2509,7641200.0,OCK
25,2012-08-23,0.2592,0.273,0.2537,0.273,11723200.0,OCK
26,2012-08-24,0.273,0.2813,0.2675,0.273,11892900.0,OCK
27,2012-08-27,0.2702,0.273,0.2675,0.2702,3194100.0,OCK
28,2012-08-28,0.2675,0.2702,0.2675,0.2702,2706100.0,OCK
29,2012-08-29,0.2702,0.2813,0.262,0.2647,18569800.0,OCK
30,2012-08-30,0.2675,0.2675,0.2537,0.2565,5544600.0,OCK
31,2012-03-09,0.2565,0.2592,0.2509,0.2537,894800.0,OCK
32,2012-04-09,0.2537,0.2537,0.2482,0.2509,1921900.0,OCK
33,2012-05-09,0.2482,0.2509,0.2427,0.2482,5969100.0,OCK
34,2012-06-09,0.2482,0.2537,0.2399,0.2509,5372400.0,OCK
35,2012-07-09,0.2537,0.2537,0.2509,0.2537,2041600.0,OCK
36,2012-10-09,0.2537,0.2592,0.2537,0.2592,1905600.0,OCK
37,2012-11-09,0.2592,0.2647,0.2592,0.2647,1984100.0,OCK
38,2012-12-09,0.2647,0.2758,0.2647,0.273,4588000.0,OCK
39,2012-09-13,0.273,0.2758,0.2702,0.2702,3631800.0,OCK
40,2012-09-14,0.2702,0.273,0.2675,0.2675,266500.0,OCK
41,2012-09-18,0.2675,0.2675,0.262,0.2675,787300.0,OCK
42,2012-09-19,0.2675,0.273,0.262,0.2702,2269300.0,OCK
43,2012-09-20,0.2702,0.2702,0.262,0.2647,1892600.0,OCK
44,2012-09-21,0.262,0.2647,0.262,0.2647,148500.0,OCK
45,2012-09-24,0.2647,0.2647,0.2565,0.2565,798000.0,OCK
46,2012-09-25,0.2565,0.2592,0.2565,0.2565,572800.0,OCK
47,2012-09-26,0.2565,0.2565,0.2509,0.2537,963000.0,OCK
48,2012-09-27,0.2509,0.2537,0.2509,0.2509,687000.0,OCK
49,2012-09-28,0.2537,0.2537,0.2537,0.2537,174100.0,OCK
50,2012-01-10,0.2537,0.262,0.2537,0.262,899300.0,OCK
51,2012-02-10,0.262,0.262,0.2592,0.262,538500.0,OCK
52,2012-03-10,0.262,0.262,0.2565,0.262,792500.0,OCK
53,2012-04-10,0.262,0.2675,0.262,0.2647,687200.0,OCK
54,2012-05-10,0.262,0.2647,0.262,0.2647,118800.0,OCK
55,2012-08-10,0.2592,0.2647,0.2565,0.262,358500.0,OCK
56,2012-09-10,0.262,0.262,0.2592,0.262,145200.0,OCK
57,2012-10-10,0.262,0.262,0.2509,0.2565,1291000.0,OCK
58,2012-11-10,0.2537,0.2565,0.2509,0.2537,442600.0,OCK
59,2012-12-10,0.2537,0.2537,0.2509,0.2537,878800.0,OCK
60,2012-10-15,0.2509,0.2537,0.2509,0.2537,264700.0,OCK
61,2012-10-16,0.2537,0.2537,0.2482,0.2482,791600.0,OCK
62,2012-10-17,0.2509,0.2537,0.2509,0.2509,175900.0,OCK
63,2012-10-18,0.2537,0.2592,0.2509,0.2592,42800.0,OCK
64,2012-10-19,0.2537,0.262,0.2537,0.262,94100.0,OCK
65,2012-10-22,0.2592,0.2647,0.2509,0.2647,324700.0,OCK
66,2012-10-23,0.2592,0.2592,0.2565,0.2565,74300.0,OCK
67,2012-10-24,0.2537,0.262,0.2537,0.2537,239300.0,OCK
68,2012-10-25,0.2565,0.2592,0.2565,0.2592,83200.0,OCK
69,2012-10-29,0.2592,0.2592,0.2565,0.2565,175900.0,OCK
70,2012-10-30,0.2565,0.2565,0.2537,0.2565,402500.0,OCK
71,2012-10-31,0.2537,0.2565,0.2509,0.2565,194000.0,OCK
72,2012-01-11,0.2537,0.2565,0.2537,0.2565,107000.0,OCK
73,2012-02-11,0.2537,0.2592,0.2509,0.2592,308200.0,OCK
74,2012-05-11,0.2565,0.2592,0.2509,0.2592,1287500.0,OCK
75,2012-06-11,0.2565,0.2592,0.2537,0.2592,244800.0,OCK
76,2012-07-11,0.2565,0.2565,0.2537,0.2537,90700.0,OCK
77,2012-08-11,0.2537,0.262,0.2509,0.262,241300.0,OCK
78,2012-09-11,0.262,0.262,0.2537,0.2537,402500.0,OCK
79,2012-12-11,0.2537,0.2565,0.2537,0.2565,39900.0,OCK
80,2012-11-14,0.2565,0.2565,0.2565,0.2565,86900.0,OCK
81,2012-11-16,0.2592,0.2592,0.2509,0.2537,538000.0,OCK
82,2012-11-19,0.2565,0.2565,0.2537,0.2565,47100.0,OCK
83,2012-11-20,0.2565,0.2592,0.2509,0.2592,343000.0,OCK
84,2012-11-21,0.2592,0.262,0.2565,0.2592,188600.0,OCK
85,2012-11-22,0.2592,0.2592,0.2565,0.2565,72500.0,OCK
86,2012-11-23,0.2565,0.2592,0.2537,0.2565,177700.0,OCK
87,2012-11-26,0.2565,0.2565,0.2509,0.2509,497900.0,OCK
88,2012-11-27,0.2509,0.2509,0.2454,0.2509,620500.0,OCK
