,Date,Open,High,Low,Close,Volume,Stock
0,1998-05-03,0.1462,0.156,0.1433,0.156,3120000.0,PADINI
1,1998-06-03,0.153,0.153,0.1511,0.1511,520000.0,PADINI
2,1998-09-03,0.1462,0.1462,0.1384,0.1384,140000.0,PADINI
3,1998-10-03,0.1452,0.1457,0.1452,0.1457,80000.0,PADINI
4,1998-11-03,0.1462,0.1462,0.1404,0.1452,180000.0,PADINI
5,1998-12-03,0.1443,0.1443,0.1365,0.1365,120000.0,PADINI
6,1998-03-13,0.1375,0.1375,0.1345,0.1365,320000.0,PADINI
7,1998-03-16,0.1462,0.1462,0.1452,0.1452,40000.0,PADINI
8,1998-03-17,0.1375,0.1375,0.1345,0.1345,140000.0,PADINI
9,1998-03-19,0.134,0.134,0.134,0.134,20000.0,PADINI
10,1998-03-20,0.1345,0.1345,0.1345,0.1345,20000.0,PADINI
11,1998-03-23,0.134,0.134,0.1316,0.1316,40000.0,PADINI
12,1998-03-24,0.1452,0.1452,0.1326,0.1326,60000.0,PADINI
13,1998-01-04,0.1443,0.1443,0.1443,0.1443,20000.0,PADINI
14,1998-02-04,0.1438,0.1438,0.1316,0.1316,80000.0,PADINI
15,1998-04-13,0.1316,0.1316,0.1316,0.1316,60000.0,PADINI
16,1998-04-14,0.1219,0.1219,0.1219,0.1219,20000.0,PADINI
17,1998-04-16,0.117,0.1292,0.117,0.1292,40000.0,PADINI
18,1998-04-20,0.1311,0.135,0.1311,0.135,100000.0,PADINI
19,1998-04-29,0.1019,0.1233,0.0989,0.1233,140000.0,PADINI
20,1998-04-30,0.1267,0.1448,0.1267,0.1448,80000.0,PADINI
21,1998-05-29,0.117,0.117,0.117,0.117,20000.0,PADINI
22,1998-01-06,0.1389,0.1389,0.1389,0.1389,20000.0,PADINI
23,1998-06-19,0.1219,0.1219,0.1219,0.1219,20000.0,PADINI
24,1998-06-23,0.1087,0.1087,0.1087,0.1087,20000.0,PADINI
25,1998-06-30,0.1121,0.1253,0.1121,0.1253,40000.0,PADINI
26,1998-01-07,0.136,0.136,0.136,0.136,20000.0,PADINI
27,1998-02-07,0.1072,0.135,0.1072,0.135,40000.0,PADINI
28,1998-10-07,0.0999,0.1462,0.0999,0.1462,120000.0,PADINI
29,1998-07-13,0.1145,0.1145,0.1145,0.1145,20000.0,PADINI
30,1998-07-14,0.1121,0.1121,0.1121,0.1121,20000.0,PADINI
31,1998-07-15,0.135,0.135,0.135,0.135,20000.0,PADINI
32,1998-07-16,0.0999,0.1292,0.0999,0.1292,40000.0,PADINI
33,1998-07-20,0.1355,0.1355,0.1355,0.1355,20000.0,PADINI
34,1998-05-08,0.1009,0.135,0.1009,0.135,40000.0,PADINI
35,1998-06-08,0.0989,0.135,0.0989,0.135,40000.0,PADINI
36,1998-07-08,0.1072,0.134,0.1038,0.134,140000.0,PADINI
37,1998-10-08,0.1028,0.1316,0.1019,0.1316,260000.0,PADINI
38,1998-08-13,0.1111,0.1262,0.1106,0.1262,60000.0,PADINI
39,1998-08-26,0.1014,0.1243,0.1014,0.1243,60000.0,PADINI
40,1998-07-09,0.1306,0.1306,0.1306,0.1306,40000.0,PADINI
41,1998-09-21,0.1121,0.1121,0.1121,0.1121,20000.0,PADINI
42,1998-09-25,0.0819,0.1063,0.0819,0.1063,40000.0,PADINI
43,1998-10-13,0.0863,0.1063,0.0863,0.1063,80000.0,PADINI
44,1998-10-16,0.0916,0.1121,0.0916,0.1121,40000.0,PADINI
45,1998-10-26,0.0975,0.1121,0.0975,0.1121,40000.0,PADINI
46,1998-09-11,0.116,0.116,0.116,0.116,80000.0,PADINI
47,1998-11-11,0.1219,0.1219,0.1219,0.1219,20000.0,PADINI
48,1998-12-11,0.117,0.1219,0.117,0.1219,40000.0,PADINI
49,1998-11-19,0.1121,0.1219,0.1121,0.1219,40000.0,PADINI
50,1998-11-23,0.1228,0.1228,0.1228,0.1228,20000.0,PADINI
51,1998-11-24,0.1228,0.1228,0.1228,0.1228,20000.0,PADINI
52,1998-11-27,0.1365,0.1365,0.1365,0.1365,80000.0,PADINI
53,1998-01-12,0.1365,0.1452,0.1365,0.1384,200000.0,PADINI
54,1998-02-12,0.1404,0.1452,0.1384,0.1414,1020000.0,PADINI
55,1998-03-12,0.1414,0.1414,0.1414,0.1414,280000.0,PADINI
56,1998-04-12,0.1414,0.1443,0.1404,0.1443,320000.0,PADINI
57,1998-07-12,0.1511,0.1599,0.1482,0.1589,2440000.0,PADINI
58,1998-08-12,0.156,0.1599,0.1511,0.156,820000.0,PADINI
59,1998-09-12,0.1579,0.1599,0.1472,0.156,600000.0,PADINI
60,1998-10-12,0.1608,0.1608,0.155,0.155,540000.0,PADINI
61,1998-11-12,0.1418,0.1418,0.1418,0.1418,20000.0,PADINI
62,1998-12-14,0.153,0.153,0.1438,0.1452,520000.0,PADINI
63,1998-12-15,0.1462,0.1462,0.134,0.1355,700000.0,PADINI
64,1998-12-16,0.1384,0.1384,0.1292,0.1375,180000.0,PADINI
65,1998-12-17,0.1223,0.137,0.1223,0.1292,140000.0,PADINI
66,1998-12-18,0.1306,0.1365,0.1306,0.1365,200000.0,PADINI
67,1998-12-21,0.1292,0.1306,0.117,0.117,220000.0,PADINI
68,1998-12-22,0.1301,0.1301,0.1131,0.1131,180000.0,PADINI
69,1998-12-23,0.1355,0.1355,0.1267,0.1316,100000.0,PADINI
70,1998-12-24,0.1355,0.136,0.1209,0.1209,140000.0,PADINI
71,1998-12-28,0.117,0.1194,0.1121,0.1121,80000.0,PADINI
72,1998-12-29,0.117,0.117,0.1121,0.1126,120000.0,PADINI
73,1998-12-30,0.1209,0.1209,0.1209,0.1209,20000.0,PADINI
74,1998-12-31,0.1306,0.1306,0.1306,0.1306,20000.0,PADINI
75,1999-04-01,0.1262,0.1311,0.1248,0.1311,160000.0,PADINI
76,1999-05-01,0.1311,0.1311,0.1306,0.1306,60000.0,PADINI
77,1999-06-01,0.1306,0.1306,0.1306,0.1306,20000.0,PADINI
78,1999-12-01,0.1267,0.1267,0.1267,0.1267,20000.0,PADINI
79,1999-01-22,0.1267,0.1267,0.1267,0.1267,40000.0,PADINI
80,1999-02-02,0.1219,0.1219,0.1219,0.1219,20000.0,PADINI
81,1999-02-18,0.1243,0.1243,0.1243,0.1243,40000.0,PADINI
82,1999-03-22,0.1121,0.1121,0.0975,0.0975,40000.0,PADINI
83,1999-03-25,0.1243,0.1243,0.1243,0.1243,20000.0,PADINI
84,1999-01-04,0.116,0.116,0.116,0.116,20000.0,PADINI
85,1999-09-04,0.116,0.116,0.116,0.116,20000.0,PADINI
86,1999-04-13,0.1194,0.1243,0.1194,0.1243,100000.0,PADINI
87,1999-04-15,0.0877,0.1194,0.0877,0.1194,120000.0,PADINI
88,1999-04-16,0.1194,0.1243,0.1194,0.1219,60000.0,PADINI
89,1999-04-19,0.1209,0.1209,0.1209,0.1209,20000.0,PADINI
90,1999-04-26,0.1209,0.1209,0.1209,0.1209,20000.0,PADINI
91,1999-04-29,0.1199,0.1199,0.1199,0.1199,20000.0,PADINI
92,1999-04-30,0.1223,0.1223,0.1223,0.1223,20000.0,PADINI
93,1999-04-05,0.1145,0.1145,0.1145,0.1145,20000.0,PADINI
94,1999-06-05,0.1214,0.1365,0.1214,0.1365,320000.0,PADINI
95,1999-07-05,0.155,0.155,0.1365,0.1365,60000.0,PADINI
96,1999-05-27,0.1248,0.1365,0.1248,0.1365,40000.0,PADINI
97,1999-05-28,0.1223,0.1223,0.1194,0.1194,60000.0,PADINI
98,1999-05-31,0.1131,0.1131,0.1131,0.1131,20000.0,PADINI
99,1999-03-06,0.1267,0.1267,0.1267,0.1267,20000.0,PADINI
100,1999-07-06,0.117,0.117,0.117,0.117,40000.0,PADINI
101,1999-08-06,0.1214,0.1214,0.1214,0.1214,60000.0,PADINI
102,1999-06-15,0.1219,0.1219,0.117,0.117,80000.0,PADINI
103,1999-06-16,0.1219,0.1219,0.1219,0.1219,20000.0,PADINI
104,1999-06-24,0.1219,0.1219,0.1219,0.1219,40000.0,PADINI
105,1999-02-07,0.1219,0.1219,0.1219,0.1219,20000.0,PADINI
106,1999-05-07,0.0887,0.1365,0.0887,0.1365,40000.0,PADINI
107,1999-07-07,0.1394,0.1414,0.1394,0.1404,120000.0,PADINI
108,1999-08-07,0.1414,0.1414,0.1404,0.1414,140000.0,PADINI
109,1999-09-07,0.1414,0.1423,0.1414,0.1414,100000.0,PADINI
110,1999-12-07,0.1457,0.1589,0.1457,0.1589,980000.0,PADINI
111,1999-07-13,0.1706,0.1706,0.156,0.1647,460000.0,PADINI
112,1999-07-14,0.1657,0.194,0.1657,0.194,2320000.0,PADINI
113,1999-07-15,0.1998,0.2154,0.1979,0.2086,3820000.0,PADINI
114,1999-07-16,0.2145,0.2145,0.2067,0.2135,3720000.0,PADINI
115,1999-07-19,0.2076,0.2291,0.2076,0.2184,4940000.0,PADINI
116,1999-07-20,0.2193,0.2193,0.2076,0.2193,820000.0,PADINI
117,1999-07-21,0.2193,0.2291,0.2184,0.2281,4780000.0,PADINI
118,1999-07-22,0.234,0.2632,0.234,0.2559,8960000.0,PADINI
119,1999-07-23,0.2583,0.2583,0.2461,0.2559,4900000.0,PADINI
120,1999-07-26,0.2583,0.2583,0.234,0.234,2280000.0,PADINI
121,1999-07-27,0.234,0.2535,0.232,0.251,1800000.0,PADINI
122,1999-07-28,0.2535,0.2583,0.2291,0.2379,2580000.0,PADINI
123,1999-07-29,0.2193,0.234,0.2106,0.2125,2280000.0,PADINI
124,1999-07-30,0.2125,0.2291,0.1842,0.2037,3660000.0,PADINI
125,1999-02-08,0.2018,0.2018,0.1647,0.1852,3880000.0,PADINI
126,1999-03-08,0.1872,0.1979,0.1696,0.1979,1400000.0,PADINI
127,1999-04-08,0.1989,0.1989,0.1667,0.1677,820000.0,PADINI
128,1999-05-08,0.1706,0.1716,0.1618,0.1638,1740000.0,PADINI
129,1999-06-08,0.1638,0.1638,0.1501,0.153,1800000.0,PADINI
130,1999-09-08,0.137,0.1511,0.116,0.1511,1580000.0,PADINI
131,1999-10-08,0.1511,0.1657,0.1394,0.1599,1980000.0,PADINI
132,1999-11-08,0.1628,0.1647,0.1462,0.1647,520000.0,PADINI
133,1999-12-08,0.1696,0.1696,0.1501,0.1569,1280000.0,PADINI
134,1999-08-13,0.1647,0.1852,0.1608,0.1852,2580000.0,PADINI
135,1999-08-16,0.1852,0.194,0.1852,0.1891,2280000.0,PADINI
136,1999-08-17,0.1842,0.1842,0.1842,0.1842,40000.0,PADINI
137,1999-08-18,0.1755,0.1891,0.1755,0.1891,320000.0,PADINI
138,1999-08-19,0.1755,0.1872,0.1725,0.1794,400000.0,PADINI
139,1999-08-20,0.1755,0.1794,0.1696,0.1794,780000.0,PADINI
140,1999-08-23,0.1755,0.1852,0.1745,0.1852,360000.0,PADINI
141,1999-08-24,0.1872,0.1872,0.1764,0.1813,320000.0,PADINI
142,1999-08-25,0.1803,0.1823,0.1755,0.1794,120000.0,PADINI
143,1999-08-26,0.1725,0.1774,0.1696,0.1764,240000.0,PADINI
144,1999-08-27,0.1735,0.1755,0.1706,0.1706,280000.0,PADINI
145,1999-08-30,0.1764,0.1794,0.1755,0.1794,360000.0,PADINI
146,1999-01-09,0.1794,0.1803,0.1755,0.1755,260000.0,PADINI
147,1999-02-09,0.1706,0.1716,0.1667,0.1716,220000.0,PADINI
148,1999-03-09,0.1716,0.1745,0.1716,0.1735,200000.0,PADINI
149,1999-07-09,0.1706,0.1745,0.1706,0.1745,260000.0,PADINI
150,1999-08-09,0.1745,0.1745,0.1745,0.1745,160000.0,PADINI
151,1999-09-09,0.1686,0.1735,0.1657,0.1735,60000.0,PADINI
152,1999-10-09,0.1725,0.1725,0.1686,0.1716,520000.0,PADINI
153,1999-09-13,0.1657,0.1696,0.1608,0.1696,240000.0,PADINI
154,1999-09-14,0.1696,0.1745,0.1696,0.1745,220000.0,PADINI
155,1999-09-15,0.1764,0.1774,0.1706,0.1706,320000.0,PADINI
156,1999-09-16,0.1696,0.1735,0.1657,0.1725,560000.0,PADINI
157,1999-09-17,0.1755,0.1755,0.1725,0.1745,360000.0,PADINI
158,1999-09-20,0.1755,0.1842,0.1677,0.1842,900000.0,PADINI
159,1999-09-21,0.1774,0.1891,0.1774,0.1842,560000.0,PADINI
160,1999-09-22,0.1852,0.1911,0.1852,0.1852,540000.0,PADINI
161,1999-09-23,0.1891,0.1891,0.1735,0.1852,200000.0,PADINI
162,1999-09-24,0.1755,0.1813,0.1745,0.1745,200000.0,PADINI
163,1999-09-27,0.1794,0.1794,0.1745,0.1745,140000.0,PADINI
164,1999-09-28,0.1667,0.1774,0.1667,0.1755,140000.0,PADINI
