,Date,Open,High,Low,Close,Volume,Stock
0,2007-09-10,5.4125,6.271,5.4125,6.1964,648300.0,PARKSON
1,2007-10-10,6.271,6.5697,6.271,6.5697,1206600.0,PARKSON
2,2007-11-10,6.5697,6.7563,6.383,6.4577,237600.0,PARKSON
3,2007-12-10,6.383,6.4204,6.3457,6.383,42700.0,PARKSON
4,2007-10-16,6.4577,6.495,6.383,6.4204,225000.0,PARKSON
5,2007-10-17,6.4204,6.4204,6.0844,6.1964,861200.0,PARKSON
6,2007-10-18,5.9724,6.1591,5.7111,6.0471,5154400.0,PARKSON
7,2007-10-19,6.0098,6.0098,5.6365,5.6365,2866000.0,PARKSON
8,2007-10-22,5.3752,5.5991,5.1512,5.4125,5886500.0,PARKSON
9,2007-10-23,5.4498,5.5618,5.3752,5.5245,3587300.0,PARKSON
10,2007-10-24,5.5618,6.1964,5.5618,6.0471,9772800.0,PARKSON
11,2007-10-25,6.0844,6.6817,6.0844,6.3084,8343000.0,PARKSON
12,2007-10-26,6.3457,6.8683,6.3457,6.831,5541500.0,PARKSON
13,2007-10-29,6.9429,6.9429,6.5697,6.7936,9205200.0,PARKSON
14,2007-10-30,6.7936,6.7936,6.4577,6.719,2161100.0,PARKSON
15,2007-10-31,6.6443,7.2789,6.5697,7.0923,4409700.0,PARKSON
16,2007-01-11,7.0923,7.1296,6.8683,6.9803,2437500.0,PARKSON
17,2007-02-11,6.719,6.831,6.4204,6.5697,4990500.0,PARKSON
18,2007-05-11,6.5697,6.7563,6.1964,6.4204,5092100.0,PARKSON
19,2007-06-11,6.4204,6.607,6.4204,6.5323,2236900.0,PARKSON
20,2007-07-11,6.607,6.831,6.4204,6.5323,2396300.0,PARKSON
21,2007-09-11,6.4577,6.4577,6.2337,6.271,3169500.0,PARKSON
22,2007-12-11,6.1591,6.1591,5.7485,5.9351,3685300.0,PARKSON
23,2007-11-13,5.9351,6.0098,5.7111,5.9724,4707400.0,PARKSON
24,2007-11-14,6.1217,6.2337,5.9351,5.9724,5280900.0,PARKSON
25,2007-11-15,5.9724,6.2337,5.7858,5.8604,3437100.0,PARKSON
26,2007-11-16,5.8231,5.8978,5.6738,5.7858,3160400.0,PARKSON
27,2007-11-19,5.8604,6.0098,5.8231,5.9724,2744600.0,PARKSON
28,2007-11-20,5.9351,5.9724,5.7858,5.9351,3299600.0,PARKSON
29,2007-11-21,5.9351,5.9351,5.6365,5.6738,4055700.0,PARKSON
30,2007-11-22,5.5991,5.6738,5.5245,5.5245,5446600.0,PARKSON
31,2007-11-23,5.5618,5.6738,5.5245,5.6365,1843100.0,PARKSON
32,2007-11-26,5.8604,6.0098,5.7858,6.0098,3418800.0,PARKSON
33,2007-11-27,6.0471,6.0471,5.7858,5.9351,8195100.0,PARKSON
34,2007-11-28,6.0471,6.1217,5.9724,6.0471,5103200.0,PARKSON
35,2007-11-29,6.0844,6.271,6.0844,6.2337,3933300.0,PARKSON
36,2007-11-30,6.271,6.719,6.2337,6.5323,5242500.0,PARKSON
37,2007-03-12,6.5697,6.9803,6.495,6.9429,5798400.0,PARKSON
38,2007-04-12,6.8683,7.3162,6.8683,7.0176,10232600.0,PARKSON
39,2007-05-12,7.0176,7.0923,6.8683,7.0176,2266300.0,PARKSON
40,2007-06-12,7.0549,7.0923,6.9056,7.0176,4301100.0,PARKSON
41,2007-07-12,7.0176,7.2789,6.9803,7.2789,5369100.0,PARKSON
42,2007-10-12,7.2789,7.3535,7.2042,7.2789,2936300.0,PARKSON
43,2007-11-12,7.2416,7.3162,7.1669,7.2042,714300.0,PARKSON
44,2007-12-12,7.0923,7.0923,6.9056,7.0176,1287100.0,PARKSON
45,2007-12-13,7.0176,7.0176,6.6443,6.6817,1652900.0,PARKSON
46,2007-12-14,6.719,6.719,6.383,6.495,1176100.0,PARKSON
47,2007-12-17,6.495,6.495,6.3084,6.4577,868800.0,PARKSON
48,2007-12-18,6.3457,6.831,6.3457,6.7936,2699600.0,PARKSON
49,2007-12-19,6.7936,6.9429,6.607,6.831,3060500.0,PARKSON
50,2007-12-21,6.6443,7.1296,6.6443,7.0923,2451900.0,PARKSON
51,2007-12-24,7.0923,7.3909,7.0923,7.2416,3962600.0,PARKSON
52,2007-12-26,7.2789,7.3909,7.0923,7.3162,2033600.0,PARKSON
53,2007-12-27,7.2789,7.3162,7.2042,7.2789,873300.0,PARKSON
54,2007-12-28,7.2789,7.3909,7.1296,7.3909,3853700.0,PARKSON
55,2007-12-31,7.2789,7.3535,7.2042,7.3535,1574400.0,PARKSON
56,2008-02-01,7.2416,7.5402,7.1669,7.1669,2602800.0,PARKSON
57,2008-03-01,7.1296,7.1296,6.9056,6.9803,1655700.0,PARKSON
58,2008-04-01,6.9803,7.1669,6.9429,7.1296,6603800.0,PARKSON
59,2008-07-01,7.0176,7.0923,6.6817,6.719,3974500.0,PARKSON
60,2008-08-01,6.719,6.8683,6.719,6.8683,1926100.0,PARKSON
61,2008-09-01,6.8683,6.8683,6.7563,6.831,1666900.0,PARKSON
62,2008-11-01,6.8683,6.9803,6.7563,6.831,2896000.0,PARKSON
63,2008-01-14,6.7936,6.7936,6.6817,6.719,1277200.0,PARKSON
64,2008-01-15,6.831,6.831,6.5697,6.719,1751700.0,PARKSON
65,2008-01-16,6.719,6.719,6.0471,6.4204,4408300.0,PARKSON
66,2008-01-17,6.4204,6.607,6.0844,6.3084,6976300.0,PARKSON
67,2008-01-18,6.1591,6.271,6.0844,6.1964,4605600.0,PARKSON
68,2008-01-21,6.1964,6.1964,5.8231,5.8604,5969200.0,PARKSON
69,2008-01-22,5.6365,5.7485,5.4125,5.4498,5803700.0,PARKSON
70,2008-01-24,5.8231,5.9724,5.6365,5.8978,5759500.0,PARKSON
71,2008-01-25,6.0098,6.1964,6.0098,6.1591,3059800.0,PARKSON
72,2008-01-28,5.9351,6.0098,5.7858,5.8231,2500000.0,PARKSON
73,2008-01-29,5.9351,6.0098,5.7485,5.8978,1953600.0,PARKSON
74,2008-01-30,5.9351,5.9724,5.6738,5.7858,1716400.0,PARKSON
75,2008-01-31,5.7485,5.8231,5.5618,5.7485,2340400.0,PARKSON
76,2008-04-02,5.7485,6.0471,5.7485,6.0098,4525700.0,PARKSON
77,2008-05-02,5.8978,6.0471,5.8978,5.9724,1532600.0,PARKSON
78,2008-06-02,5.8231,5.9724,5.7111,5.9351,875500.0,PARKSON
79,2008-11-02,5.9351,5.9724,5.8978,5.9724,890100.0,PARKSON
80,2008-12-02,5.9724,5.9724,5.7858,5.8231,152600.0,PARKSON
81,2008-02-13,5.8978,5.9351,5.7485,5.7485,390300.0,PARKSON
82,2008-02-14,5.8231,5.8978,5.7485,5.8231,1746700.0,PARKSON
