,Date,Open,High,Low,Close,Volume,Stock
0,2016-05-18,0.865,0.865,0.815,0.825,74028900.0,SALUTE
1,2016-05-19,0.82,0.835,0.81,0.825,8383000.0,SALUTE
2,2016-05-20,0.815,0.815,0.79,0.8,8009300.0,SALUTE
3,2016-05-23,0.805,0.805,0.78,0.795,4938700.0,SALUTE
4,2016-05-24,0.795,0.795,0.77,0.775,6881400.0,SALUTE
5,2016-05-25,0.775,0.795,0.775,0.79,4698000.0,SALUTE
6,2016-05-26,0.785,0.79,0.78,0.79,3212700.0,SALUTE
7,2016-05-27,0.785,0.815,0.78,0.81,5527800.0,SALUTE
8,2016-05-30,0.81,0.815,0.785,0.785,2698600.0,SALUTE
9,2016-05-31,0.785,0.805,0.785,0.805,1142300.0,SALUTE
10,2016-01-06,0.8,0.805,0.79,0.79,870100.0,SALUTE
11,2016-02-06,0.795,0.84,0.795,0.835,10457000.0,SALUTE
12,2016-03-06,0.835,0.915,0.835,0.905,32940600.0,SALUTE
13,2016-06-06,0.9,0.915,0.86,0.87,10837300.0,SALUTE
14,2016-07-06,0.865,0.925,0.865,0.915,12663100.0,SALUTE
15,2016-08-06,0.905,0.91,0.885,0.89,4636400.0,SALUTE
16,2016-09-06,0.89,0.91,0.88,0.905,7018400.0,SALUTE
17,2016-10-06,0.9,0.93,0.9,0.9,9793100.0,SALUTE
18,2016-06-13,0.885,0.91,0.88,0.91,2797300.0,SALUTE
19,2016-06-14,0.91,0.99,0.895,0.965,16607400.0,SALUTE
20,2016-06-15,0.955,0.995,0.95,0.955,4899100.0,SALUTE
21,2016-06-16,0.955,0.985,0.935,0.955,3857500.0,SALUTE
22,2016-06-17,0.96,0.975,0.955,0.955,4140700.0,SALUTE
23,2016-06-20,0.96,1.01,0.96,0.99,8447700.0,SALUTE
24,2016-06-21,0.995,1.03,0.98,0.98,8280700.0,SALUTE
25,2016-06-23,0.98,1.0,0.975,0.99,2017600.0,SALUTE
26,2016-06-24,0.99,0.99,0.9,0.94,7267500.0,SALUTE
27,2016-06-27,0.94,0.975,0.925,0.965,3946400.0,SALUTE
28,2016-06-28,0.965,1.02,0.96,1.01,4969600.0,SALUTE
29,2016-06-29,1.01,1.06,1.01,1.05,8334200.0,SALUTE
30,2016-06-30,1.06,1.08,0.995,1.02,8065700.0,SALUTE
31,2016-01-07,1.03,1.05,1.02,1.05,1523600.0,SALUTE
32,2016-04-07,1.05,1.07,1.04,1.04,2041900.0,SALUTE
33,2016-05-07,1.03,1.06,1.03,1.05,2492300.0,SALUTE
34,2016-08-07,1.06,1.06,1.01,1.03,2747400.0,SALUTE
35,2016-11-07,1.03,1.06,1.02,1.04,1166500.0,SALUTE
36,2016-12-07,1.03,1.09,1.03,1.09,4392100.0,SALUTE
37,2016-07-13,1.09,1.11,1.08,1.09,4970300.0,SALUTE
38,2016-07-14,1.1,1.14,1.08,1.14,2960300.0,SALUTE
39,2016-07-15,1.14,1.19,1.13,1.16,3922500.0,SALUTE
40,2016-07-18,1.17,1.2,1.16,1.17,1535500.0,SALUTE
41,2016-07-19,1.18,1.18,1.15,1.16,879200.0,SALUTE
42,2016-07-20,1.16,1.23,1.14,1.22,4229200.0,SALUTE
43,2016-07-21,1.23,1.26,1.2,1.21,3348000.0,SALUTE
44,2016-07-22,1.21,1.26,1.2,1.25,1829300.0,SALUTE
45,2016-07-25,1.26,1.26,1.22,1.23,1509000.0,SALUTE
46,2016-07-26,1.24,1.25,1.22,1.24,1495100.0,SALUTE
47,2016-07-27,1.25,1.25,1.18,1.23,5812700.0,SALUTE
48,2016-07-28,1.22,1.23,1.18,1.18,4858500.0,SALUTE
