,Date,Open,High,Low,Close,Volume,Stock
0,1996-11-25,4.1667,4.1667,3.6667,3.6833,14615400.0,SURIA
1,1996-11-26,3.7,4.0167,3.7,3.9167,9478800.0,SURIA
2,1996-11-27,3.9333,4.6667,3.9167,4.3333,12059400.0,SURIA
3,1996-11-28,4.3667,4.5167,4.3333,4.4333,5491200.0,SURIA
4,1996-11-29,4.4333,4.4833,4.3,4.3667,4401000.0,SURIA
5,1996-02-12,4.3833,4.4333,4.0833,4.1167,2139000.0,SURIA
6,1996-03-12,4.1167,4.2,4.0333,4.0833,1323600.0,SURIA
7,1996-04-12,4.0833,4.1,3.9333,3.9333,1000800.0,SURIA
8,1996-05-12,3.9667,4.0167,3.9167,3.9333,1792800.0,SURIA
9,1996-06-12,3.95,3.9833,3.7,3.8333,3683400.0,SURIA
10,1996-09-12,3.9167,3.9667,3.75,3.75,2001600.0,SURIA
11,1996-10-12,3.8333,3.8833,3.8,3.8333,2425800.0,SURIA
12,1996-11-12,3.8667,3.8833,3.7667,3.8333,1486800.0,SURIA
13,1996-12-12,3.8,3.8167,3.7667,3.8,661800.0,SURIA
14,1996-12-13,3.7833,3.8,3.75,3.75,1148400.0,SURIA
15,1996-12-16,3.7667,3.8,3.75,3.7833,843000.0,SURIA
16,1996-12-17,3.7667,3.7833,3.7333,3.7333,789600.0,SURIA
17,1996-12-18,3.7667,3.8167,3.7167,3.7167,799800.0,SURIA
18,1996-12-19,3.75,3.7667,3.7333,3.75,812400.0,SURIA
19,1996-12-20,3.7833,3.8,3.7333,3.7333,639600.0,SURIA
20,1996-12-23,3.75,3.7833,3.75,3.7667,368400.0,SURIA
21,1996-12-24,3.7833,3.8167,3.7667,3.8,362400.0,SURIA
22,1996-12-26,3.8,3.8833,3.8,3.8,822000.0,SURIA
23,1996-12-27,3.8167,3.8833,3.7833,3.8,734400.0,SURIA
24,1996-12-30,3.8333,3.8333,3.75,3.7667,1418400.0,SURIA
25,1996-12-31,3.7667,3.8,3.7333,3.75,1639800.0,SURIA
26,1997-02-01,3.7833,3.7833,3.7333,3.7667,1321800.0,SURIA
27,1997-03-01,3.7667,3.7833,3.7333,3.7667,1132800.0,SURIA
28,1997-06-01,3.8,3.8333,3.7833,3.8,915600.0,SURIA
29,1997-07-01,3.8167,4.0667,3.8167,3.9167,6075000.0,SURIA
30,1997-08-01,3.95,4.0167,3.9333,3.9333,4021200.0,SURIA
31,1997-09-01,3.9333,3.9667,3.8167,3.8167,2146800.0,SURIA
32,1997-10-01,3.8333,3.8833,3.8,3.8333,2085600.0,SURIA
33,1997-01-13,3.8333,3.9333,3.8333,3.8333,3150000.0,SURIA
34,1997-01-14,3.8667,3.8667,3.7833,3.8,1802400.0,SURIA
35,1997-01-15,3.85,3.9,3.8333,3.8667,598200.0,SURIA
36,1997-01-16,3.8667,4.0333,3.85,4.0167,3478800.0,SURIA
37,1997-01-17,4.0167,4.1833,4.0,4.0,7069200.0,SURIA
38,1997-01-20,4.05,4.1667,4.05,4.1167,4254000.0,SURIA
39,1997-01-21,4.1333,4.2333,4.1333,4.15,4576800.0,SURIA
40,1997-01-22,4.1667,4.2,4.1,4.1167,2294400.0,SURIA
41,1997-01-23,4.1333,4.15,4.0667,4.0667,1352400.0,SURIA
42,1997-01-24,4.0667,4.1,4.0167,4.0667,802800.0,SURIA
43,1997-01-27,4.0667,4.1167,4.0667,4.0833,896400.0,SURIA
44,1997-01-28,4.0833,4.1,4.05,4.05,975000.0,SURIA
45,1997-01-29,4.0667,4.0667,3.9167,3.9333,1217400.0,SURIA
46,1997-01-30,3.9667,4.0667,3.9333,3.9833,970200.0,SURIA
47,1997-01-31,4.0,4.0167,3.9667,3.9667,905400.0,SURIA
48,1997-03-02,3.9833,4.0,3.95,3.9667,707400.0,SURIA
49,1997-04-02,3.9833,4.05,3.9833,4.0,883800.0,SURIA
50,1997-05-02,4.0,4.0333,4.0,4.0333,1187400.0,SURIA
51,1997-12-02,4.0667,4.5,4.0667,4.45,8987400.0,SURIA
52,1997-02-13,4.4833,4.6167,4.4167,4.45,6232200.0,SURIA
53,1997-02-14,4.5,4.5167,4.3833,4.45,4077600.0,SURIA
54,1997-02-17,4.4667,4.5333,4.45,4.4667,5040000.0,SURIA
55,1997-02-18,4.4833,4.5,4.4,4.4167,2689800.0,SURIA
56,1997-02-19,4.45,5.0667,4.4167,5.0,17044200.0,SURIA
57,1997-02-20,5.0,5.2667,4.9333,5.1333,25386600.0,SURIA
58,1997-02-21,5.1333,5.5667,5.0,5.4,19788600.0,SURIA
59,1997-02-24,5.4667,5.9333,5.4333,5.6667,21394200.0,SURIA
60,1997-02-25,5.7667,5.8333,5.5333,5.6333,11653800.0,SURIA
61,1997-02-26,5.6667,5.7,5.3333,5.4,10129200.0,SURIA
62,1997-02-27,5.4,5.5,5.1667,5.4,6636000.0,SURIA
63,1997-02-28,5.4,5.5667,5.3333,5.4667,6650400.0,SURIA
64,1997-03-03,5.5,5.5667,5.2667,5.3,3879600.0,SURIA
65,1997-04-03,5.3,5.4,5.1667,5.2333,4147800.0,SURIA
66,1997-05-03,5.2333,5.4667,5.1,5.4667,5365800.0,SURIA
67,1997-06-03,5.5667,5.6,5.2,5.2333,5260800.0,SURIA
68,1997-07-03,5.2667,5.3667,5.2,5.2667,3187200.0,SURIA
69,1997-10-03,5.2667,5.4333,5.2,5.2333,3933600.0,SURIA
70,1997-11-03,5.2333,5.5,5.2333,5.4667,5156400.0,SURIA
71,1997-12-03,5.5,5.7333,5.4333,5.5667,12661200.0,SURIA
72,1997-03-13,5.5333,5.9,5.4333,5.7667,11533800.0,SURIA
73,1997-03-14,5.6333,5.8667,5.5667,5.6667,9829800.0,SURIA
74,1997-03-17,5.7,5.7667,5.5333,5.5667,3640200.0,SURIA
75,1997-03-18,5.5667,5.6333,5.3667,5.4333,2640600.0,SURIA
76,1997-03-19,5.4333,5.5,5.3667,5.4,1517400.0,SURIA
77,1997-03-20,5.4333,5.4333,5.3,5.3667,2041200.0,SURIA
78,1997-03-21,5.3667,5.3667,5.2,5.2667,2257800.0,SURIA
79,1997-03-24,5.2667,5.5667,5.2,5.3667,3775200.0,SURIA
80,1997-03-25,5.4333,5.5333,5.3667,5.4333,3330000.0,SURIA
81,1997-03-26,5.4667,5.5667,5.4,5.4667,3252600.0,SURIA
82,1997-03-27,5.4667,5.5333,5.3667,5.4,2668800.0,SURIA
83,1997-03-28,5.3667,5.7,5.3333,5.5667,5064000.0,SURIA
84,1997-03-31,5.5667,5.5667,5.3667,5.4,2184000.0,SURIA
85,1997-01-04,5.3333,5.4333,5.2667,5.3,2632800.0,SURIA
86,1997-02-04,5.3,5.3333,4.9667,5.0333,3411600.0,SURIA
87,1997-03-04,4.9833,5.0333,4.6833,4.7,3746400.0,SURIA
88,1997-04-04,4.7,4.85,4.4,4.7167,5111400.0,SURIA
89,1997-07-04,4.8167,4.9167,4.65,4.7667,3120600.0,SURIA
90,1997-08-04,4.8167,4.9833,4.8,4.95,1846800.0,SURIA
91,1997-09-04,5.0,5.1,4.8167,4.9833,2436600.0,SURIA
92,1997-10-04,4.95,4.9667,4.7167,4.7833,823800.0,SURIA
93,1997-11-04,4.7833,4.8,4.65,4.6833,953400.0,SURIA
94,1997-04-14,4.65,4.65,4.3,4.3333,3291000.0,SURIA
95,1997-04-15,4.4167,4.45,4.1667,4.2333,2185200.0,SURIA
96,1997-04-16,4.3333,4.4667,4.0333,4.3167,2416800.0,SURIA
97,1997-04-17,4.3667,4.6667,4.3667,4.6667,3131400.0,SURIA
98,1997-04-21,4.6667,4.8,4.6167,4.7,2626800.0,SURIA
99,1997-04-22,4.7,4.7,4.4667,4.4667,997800.0,SURIA
100,1997-04-23,4.5,4.7,4.4667,4.4833,997200.0,SURIA
101,1997-04-24,4.5,4.5,4.3667,4.3667,555600.0,SURIA
102,1997-04-25,4.3667,4.5,4.35,4.3833,546600.0,SURIA
103,1997-04-28,4.3833,4.4167,4.3333,4.35,1167000.0,SURIA
104,1997-04-29,4.35,4.3667,4.2667,4.2833,728400.0,SURIA
105,1997-04-30,4.4167,4.4667,4.3333,4.3833,771000.0,SURIA
106,1997-02-05,4.3833,5.1333,4.3833,5.1,11631000.0,SURIA
107,1997-05-05,5.2,5.4667,4.95,5.1,8475000.0,SURIA
108,1997-06-05,5.1667,5.1667,4.9167,4.9333,3550800.0,SURIA
109,1997-07-05,4.9333,5.1,4.75,4.95,3280800.0,SURIA
110,1997-09-05,4.95,4.95,4.7667,4.8,838800.0,SURIA
111,1997-12-05,4.8,4.8,4.5333,4.55,775800.0,SURIA
112,1997-05-13,4.55,4.5833,4.4333,4.4833,922800.0,SURIA
113,1997-05-14,4.4833,4.4833,4.2667,4.2833,3375000.0,SURIA
114,1997-05-15,4.2833,4.3333,3.9667,4.0833,5702400.0,SURIA
115,1997-05-16,4.0833,4.3167,3.95,4.3,5211600.0,SURIA
116,1997-05-19,4.3167,4.4667,4.2833,4.3167,3994200.0,SURIA
117,1997-05-20,4.3833,4.6333,4.3833,4.45,3412800.0,SURIA
118,1997-05-22,4.5,4.9333,4.5,4.7667,5748000.0,SURIA
119,1997-05-23,4.7667,4.8,4.5167,4.65,2194800.0,SURIA
120,1997-05-26,4.6667,4.6833,4.5,4.5167,910800.0,SURIA
121,1997-05-27,4.5333,4.85,4.4667,4.7167,3476400.0,SURIA
122,1997-05-28,4.75,4.85,4.6667,4.6667,1686000.0,SURIA
123,1997-05-29,4.7333,4.9667,4.6833,4.7333,4193400.0,SURIA
124,1997-05-30,4.7667,4.8167,4.7,4.7,936600.0,SURIA
125,1997-02-06,4.7,4.7833,4.5,4.55,999600.0,SURIA
126,1997-03-06,4.55,4.65,4.5,4.5,1396800.0,SURIA
127,1997-04-06,4.5333,4.5667,4.4333,4.45,667200.0,SURIA
128,1997-05-06,4.45,4.5833,4.4,4.55,1327200.0,SURIA
129,1997-06-06,4.55,4.6833,4.5167,4.6167,2231400.0,SURIA
130,1997-09-06,4.6667,5.1667,4.6667,5.0,12510600.0,SURIA
131,1997-10-06,5.1,5.2,4.9167,5.0667,11221800.0,SURIA
132,1997-11-06,5.0667,5.1667,4.8,5.0333,8281200.0,SURIA
133,1997-12-06,5.0333,5.0333,4.8,4.8167,3418200.0,SURIA
134,1997-06-13,4.8333,4.8667,4.5,4.5833,5058000.0,SURIA
135,1997-06-16,4.5833,4.5833,4.3333,4.5,4869000.0,SURIA
136,1997-06-17,4.4667,4.5333,4.4167,4.4333,1272600.0,SURIA
137,1997-06-18,4.4167,4.4833,4.3333,4.4333,1444800.0,SURIA
138,1997-06-19,4.4333,4.45,4.3333,4.3333,2087400.0,SURIA
139,1997-06-20,4.3333,4.4,4.2667,4.2667,2519400.0,SURIA
140,1997-06-23,4.3,4.35,4.2667,4.2833,1336800.0,SURIA
141,1997-06-24,4.2833,4.3333,4.2167,4.25,1177800.0,SURIA
142,1997-06-25,4.2833,4.4,4.2167,4.2333,2422800.0,SURIA
143,1997-06-26,4.2667,4.3,4.2,4.2333,1157400.0,SURIA
144,1997-06-27,4.2333,4.2667,4.2,4.2167,670800.0,SURIA
