Date,Open,High,Low,Close,Volume,Stock
1999-03-11,1.32,1.3267,1.2067,1.2133,5437500.0,TONGHER
1999-04-11,1.22,1.2267,1.18,1.18,1024500.0,TONGHER
1999-05-11,1.18,1.2067,1.1667,1.1867,982500.0,TONGHER
1999-09-11,1.18,1.18,1.0667,1.0933,1078500.0,TONGHER
1999-10-11,1.1,1.1667,1.1,1.12,1674000.0,TONGHER
1999-11-11,1.1333,1.1333,1.1067,1.1067,628500.0,TONGHER
1999-12-11,1.1133,1.1133,1.08,1.1067,826500.0,TONGHER
1999-11-15,1.1133,1.1133,1.0867,1.1067,322500.0,TONGHER
1999-11-16,1.1067,1.12,1.1,1.1067,318000.0,TONGHER
1999-11-17,1.1067,1.1133,1.0933,1.1067,246000.0,TONGHER
1999-11-18,1.1067,1.1067,1.0933,1.1067,478500.0,TONGHER
1999-11-19,1.1067,1.1733,1.1,1.16,1954500.0,TONGHER
1999-11-22,1.16,1.22,1.12,1.22,948000.0,TONGHER
1999-11-23,1.2333,1.52,1.2333,1.3733,15370500.0,TONGHER
1999-11-24,1.3733,1.42,1.2533,1.2533,3568500.0,TONGHER
1999-11-25,1.26,1.28,1.22,1.2267,1413000.0,TONGHER
1999-11-26,1.24,1.2867,1.22,1.2333,1140000.0,TONGHER
1999-11-30,1.2467,1.2667,1.1467,1.1467,1093500.0,TONGHER
1999-01-12,1.1533,1.1867,1.1333,1.1333,1092000.0,TONGHER
1999-02-12,1.1333,1.2133,1.1333,1.18,2989500.0,TONGHER
1999-03-12,1.18,1.2067,1.1533,1.1667,1396500.0,TONGHER
1999-06-12,1.1733,1.18,1.1533,1.16,513000.0,TONGHER
1999-07-12,1.16,1.2667,1.16,1.2467,2374500.0,TONGHER
1999-08-12,1.2467,1.26,1.1733,1.1867,858000.0,TONGHER
1999-09-12,1.18,1.24,1.18,1.2133,855000.0,TONGHER
1999-10-12,1.24,1.28,1.2,1.2067,1665000.0,TONGHER
1999-12-13,1.1933,1.28,1.1933,1.28,951000.0,TONGHER
1999-12-14,1.3,1.3,1.2267,1.2333,669000.0,TONGHER
1999-12-15,1.2333,1.2333,1.1867,1.1867,505500.0,TONGHER
1999-12-16,1.1867,1.2533,1.18,1.2333,771000.0,TONGHER
1999-12-17,1.2467,1.26,1.2333,1.24,645000.0,TONGHER
1999-12-20,1.26,1.26,1.22,1.2267,579000.0,TONGHER
1999-12-21,1.2267,1.24,1.2133,1.2333,652500.0,TONGHER
1999-12-22,1.2333,1.2467,1.22,1.22,675000.0,TONGHER
1999-12-23,1.2267,1.2333,1.22,1.2267,301500.0,TONGHER
1999-12-24,1.2267,1.2333,1.22,1.2333,210000.0,TONGHER
1999-12-27,1.2467,1.2667,1.2333,1.2467,376500.0,TONGHER
1999-12-28,1.2467,1.2867,1.2467,1.2733,612000.0,TONGHER
1999-12-29,1.2933,1.36,1.2933,1.3267,1648500.0,TONGHER
1999-12-30,1.3333,1.3333,1.3,1.3,532500.0,TONGHER
2000-03-01,1.32,1.3733,1.32,1.3733,1294500.0,TONGHER
2000-04-01,1.3733,1.3867,1.3333,1.3333,864000.0,TONGHER
2000-05-01,1.3,1.32,1.2667,1.2933,855000.0,TONGHER
2000-06-01,1.3,1.3267,1.2733,1.2933,576000.0,TONGHER
