,Date,Open,High,Low,Close,Volume,Stock
0,1984-09-01,1.5478,1.5478,1.5478,1.5478,20200.0,UTDPLT
1,1984-10-01,1.5478,1.5478,1.5478,1.5478,14400.0,UTDPLT
2,1984-11-01,1.561,1.561,1.561,1.561,14400.0,UTDPLT
3,1984-12-01,1.561,1.561,1.561,1.561,8600.0,UTDPLT
4,1984-01-13,1.561,1.561,1.561,1.561,2900.0,UTDPLT
5,1984-01-16,1.561,1.561,1.561,1.561,23000.0,UTDPLT
6,1984-01-17,1.561,1.561,1.561,1.561,11500.0,UTDPLT
7,1984-01-18,1.5478,1.5478,1.5478,1.5478,14400.0,UTDPLT
8,1984-01-19,1.5347,1.5347,1.5347,1.5347,17300.0,UTDPLT
9,1984-01-20,1.5741,1.5741,1.5741,1.5741,2900.0,UTDPLT
10,1984-01-27,1.5216,1.5216,1.5216,1.5216,2900.0,UTDPLT
11,1984-01-31,1.5478,1.5478,1.5478,1.5478,20200.0,UTDPLT
12,1984-02-14,1.5216,1.5216,1.5216,1.5216,5800.0,UTDPLT
13,1984-02-15,1.5085,1.5085,1.5085,1.5085,2900.0,UTDPLT
14,1984-03-26,1.5085,1.5085,1.5085,1.5085,14400.0,UTDPLT
15,1984-03-27,1.5085,1.5085,1.5085,1.5085,11500.0,UTDPLT
16,1984-03-28,1.4429,1.4429,1.4429,1.4429,11500.0,UTDPLT
17,1984-05-04,1.338,1.338,1.338,1.338,2900.0,UTDPLT
18,1984-11-04,1.3904,1.4035,1.3904,1.3904,17300.0,UTDPLT
19,1984-12-04,1.3904,1.4035,1.3642,1.3904,8600.0,UTDPLT
20,1984-04-13,1.3904,1.3904,1.3904,1.3904,5800.0,UTDPLT
21,1984-04-27,1.3904,1.3904,1.3904,1.3904,8600.0,UTDPLT
22,1984-04-30,1.3773,1.3773,1.3773,1.3773,2900.0,UTDPLT
23,1984-07-05,1.4167,1.4167,1.4167,1.4167,2900.0,UTDPLT
24,1984-08-05,1.3904,1.4429,1.3904,1.3904,11500.0,UTDPLT
25,1984-11-05,1.338,1.3773,1.338,1.338,8600.0,UTDPLT
26,1984-05-14,1.3117,1.3117,1.3117,1.3117,8600.0,UTDPLT
27,1984-05-16,1.3012,1.3117,1.296,1.3012,28800.0,UTDPLT
28,1984-05-17,1.3065,1.3065,1.3012,1.3065,5800.0,UTDPLT
29,1984-05-18,1.3117,1.3117,1.3117,1.3117,2900.0,UTDPLT
30,1984-05-23,1.2855,1.3117,1.2855,1.2855,8600.0,UTDPLT
31,1984-05-31,1.3117,1.3117,1.3117,1.3117,14400.0,UTDPLT
32,1984-05-06,1.3117,1.3117,1.3117,1.3117,5800.0,UTDPLT
33,1984-06-21,1.2855,1.296,1.2855,1.2855,20200.0,UTDPLT
34,1984-03-07,1.2855,1.2855,1.2855,1.2855,2900.0,UTDPLT
35,1984-05-07,1.2855,1.2855,1.2855,1.2855,2900.0,UTDPLT
36,1984-09-07,1.2593,1.2593,1.2593,1.2593,5800.0,UTDPLT
37,1984-10-07,1.233,1.2488,1.233,1.233,5800.0,UTDPLT
38,1984-07-17,1.2278,1.2278,1.2278,1.2278,2900.0,UTDPLT
39,1984-07-25,1.1543,1.1543,1.1543,1.1543,2900.0,UTDPLT
40,1984-07-27,1.1543,1.1543,1.1281,1.1543,17300.0,UTDPLT
41,1984-01-08,1.1018,1.1018,1.1018,1.1018,2900.0,UTDPLT
42,1984-02-08,1.1228,1.1281,1.1228,1.1228,54700.0,UTDPLT
43,1984-03-08,1.1281,1.1281,1.1281,1.1281,161300.0,UTDPLT
44,1984-06-08,1.1543,1.1596,1.1281,1.1543,149800.0,UTDPLT
45,1984-07-08,1.1543,1.1596,1.1491,1.1543,273600.0,UTDPLT
46,1984-08-08,1.1543,1.1648,1.1543,1.1543,138200.0,UTDPLT
47,1984-09-08,1.1438,1.1543,1.1438,1.1438,51800.0,UTDPLT
48,1984-10-08,1.1491,1.1543,1.1333,1.1491,31700.0,UTDPLT
49,1984-08-13,1.1438,1.1438,1.1386,1.1438,8600.0,UTDPLT
50,1984-08-15,1.1386,1.1386,1.1333,1.1386,8600.0,UTDPLT
51,1984-08-16,1.1333,1.1333,1.1176,1.1333,40300.0,UTDPLT
52,1984-08-17,1.1281,1.1386,1.1176,1.1281,20200.0,UTDPLT
53,1984-08-20,1.1281,1.1281,1.1281,1.1281,23000.0,UTDPLT
54,1984-08-21,1.1491,1.1491,1.1386,1.1491,25900.0,UTDPLT
55,1984-08-22,1.1491,1.1543,1.1491,1.1491,40300.0,UTDPLT
56,1984-08-23,1.1438,1.1543,1.1438,1.1438,8600.0,UTDPLT
57,1984-08-24,1.1386,1.1438,1.1386,1.1386,11500.0,UTDPLT
58,1984-08-27,1.1228,1.1281,1.1228,1.1228,11500.0,UTDPLT
59,1984-08-28,1.1281,1.1281,1.1228,1.1281,5800.0,UTDPLT
60,1984-08-29,1.1281,1.1281,1.1281,1.1281,8600.0,UTDPLT
61,1984-08-30,1.1281,1.1281,1.1281,1.1281,5800.0,UTDPLT
62,1984-03-09,1.1228,1.1281,1.1228,1.1228,31700.0,UTDPLT
63,1984-04-09,1.1228,1.1228,1.1228,1.1228,2900.0,UTDPLT
64,1984-06-09,1.1176,1.1176,1.1176,1.1176,5800.0,UTDPLT
65,1984-12-09,1.1018,1.1018,1.1018,1.1018,8600.0,UTDPLT
66,1984-09-13,1.0914,1.0914,1.0914,1.0914,8600.0,UTDPLT
67,1984-09-20,1.0756,1.0756,1.0756,1.0756,8600.0,UTDPLT
68,1984-09-25,1.0756,1.0756,1.0756,1.0756,5800.0,UTDPLT
69,1984-09-27,1.0914,1.0914,1.0861,1.0914,14400.0,UTDPLT
70,1984-09-28,1.0756,1.0756,1.0756,1.0756,31700.0,UTDPLT
71,1984-03-10,1.0651,1.0704,1.0651,1.0651,17300.0,UTDPLT
72,1984-04-10,1.0651,1.0651,1.0651,1.0651,5800.0,UTDPLT
73,1984-05-10,1.0704,1.0704,1.0651,1.0704,5800.0,UTDPLT
74,1984-10-10,1.0494,1.0494,1.0494,1.0494,8600.0,UTDPLT
75,1984-12-10,1.0389,1.0494,1.0389,1.0389,5800.0,UTDPLT
76,1984-10-17,1.0389,1.0389,1.0389,1.0389,2900.0,UTDPLT
77,1984-10-18,1.0546,1.0546,1.0494,1.0546,40300.0,UTDPLT
78,1984-10-19,1.0546,1.0546,1.0546,1.0546,43200.0,UTDPLT
79,1984-10-31,1.0494,1.0494,1.0494,1.0494,5800.0,UTDPLT
80,1984-01-11,1.0389,1.0389,1.0389,1.0389,14400.0,UTDPLT
81,1984-06-11,1.0127,1.0284,1.0127,1.0127,31700.0,UTDPLT
82,1984-07-11,1.0074,1.0127,1.0074,1.0074,23000.0,UTDPLT
83,1984-08-11,0.9969,0.9969,0.9969,0.9969,2900.0,UTDPLT
84,1984-09-11,0.9969,0.9969,0.9969,0.9969,5800.0,UTDPLT
85,1984-11-14,1.0704,1.0704,1.0704,1.0704,2900.0,UTDPLT
86,1984-11-20,0.9707,0.9707,0.9707,0.9707,2900.0,UTDPLT
87,1984-11-21,0.9759,0.9759,0.9759,0.9759,2900.0,UTDPLT
88,1984-11-22,0.9812,0.9812,0.9812,0.9812,2900.0,UTDPLT
89,1984-11-26,0.9707,0.9707,0.9707,0.9707,2900.0,UTDPLT
90,1984-11-27,0.9917,0.9917,0.9917,0.9917,8600.0,UTDPLT
91,1984-11-12,1.1176,1.1176,1.1176,1.1176,28800.0,UTDPLT
92,1984-12-12,1.1281,1.1281,1.1281,1.1281,2900.0,UTDPLT
93,1984-12-17,1.1123,1.1228,1.1123,1.1123,5800.0,UTDPLT
94,1984-12-19,1.1228,1.1228,1.1176,1.1228,5800.0,UTDPLT
95,1984-12-28,1.1281,1.1281,1.1281,1.1281,2900.0,UTDPLT
96,1984-12-31,1.1543,1.1543,1.1491,1.1543,11500.0,UTDPLT
97,1985-02-01,1.1491,1.1491,1.1491,1.1491,2900.0,UTDPLT
98,1985-08-01,1.1018,1.1018,1.1018,1.1018,5800.0,UTDPLT
99,1985-10-01,1.0914,1.1018,1.0914,1.0914,11500.0,UTDPLT
100,1985-01-24,1.0756,1.0756,1.0756,1.0756,5800.0,UTDPLT
101,1985-01-30,1.1018,1.1018,1.1018,1.1018,5800.0,UTDPLT
102,1985-05-02,1.1018,1.1018,1.1018,1.1018,2900.0,UTDPLT
103,1985-06-02,1.0966,1.0966,1.0966,1.0966,5800.0,UTDPLT
104,1985-07-02,1.1018,1.1018,1.1018,1.1018,2900.0,UTDPLT
105,1985-08-02,1.1018,1.1018,1.1018,1.1018,2900.0,UTDPLT
106,1985-12-02,1.0756,1.0756,1.0756,1.0756,2900.0,UTDPLT
107,1985-02-14,1.0756,1.0756,1.0756,1.0756,2900.0,UTDPLT
108,1985-02-15,1.0756,1.0756,1.0756,1.0756,2900.0,UTDPLT
109,1985-02-18,1.0756,1.0809,1.0756,1.0756,5800.0,UTDPLT
110,1985-02-27,1.1281,1.1281,1.1281,1.1281,5800.0,UTDPLT
111,1985-04-03,1.1281,1.1281,1.1281,1.1281,5800.0,UTDPLT
112,1985-07-03,1.1543,1.1543,1.1543,1.1543,2900.0,UTDPLT
113,1985-08-03,1.1806,1.1806,1.1806,1.1806,8600.0,UTDPLT
114,1985-11-03,1.1806,1.1963,1.1806,1.1806,155500.0,UTDPLT
115,1985-12-03,1.191,1.191,1.1806,1.191,5800.0,UTDPLT
116,1985-03-13,1.191,1.191,1.191,1.191,28800.0,UTDPLT
117,1985-03-14,1.2068,1.2068,1.1963,1.2068,11500.0,UTDPLT
118,1985-03-15,1.2593,1.2593,1.2225,1.2593,11500.0,UTDPLT
119,1985-03-18,1.2593,1.2593,1.2593,1.2593,14400.0,UTDPLT
120,1985-03-19,1.2593,1.2593,1.2593,1.2593,5800.0,UTDPLT
121,1985-03-20,1.2593,1.2593,1.2593,1.2593,23000.0,UTDPLT
122,1985-03-21,1.2488,1.2488,1.2488,1.2488,25900.0,UTDPLT
123,1985-03-22,1.2383,1.2488,1.2383,1.2383,23000.0,UTDPLT
124,1985-03-29,1.2068,1.233,1.2068,1.2068,17300.0,UTDPLT
125,1985-03-04,1.2068,1.2068,1.2068,1.2068,2900.0,UTDPLT
126,1985-05-04,1.2173,1.3117,1.2173,1.2173,14400.0,UTDPLT
127,1985-10-04,1.212,1.212,1.2068,1.212,5800.0,UTDPLT
128,1985-11-04,1.2068,1.2068,1.2015,1.2068,17300.0,UTDPLT
129,1985-04-17,1.2015,1.2015,1.2015,1.2015,17300.0,UTDPLT
130,1985-04-22,1.2015,1.2015,1.2015,1.2015,37400.0,UTDPLT
